id,text,html,js_files,cve,exploit_exists,labels,severity,headers,source,timestamp
CVE-2001-1161,"Cross-site scripting (CSS) vulnerability in Lotus Domino 5.0.6 allows remote attackers to execute script on other web clients via a URL that ends in Javascript, which generates an error message that does not quote the resulting script.",,[],CVE-2001-1161,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.371546
CVE-2001-1441,"Cross-site scripting (XSS) vulnerability in VisualAge for Java 3.5 Professional allows remote attackers to execute JavaScript on other clients via the URL, which injects the script in the resulting error message.",,[],CVE-2001-1441,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.371808
CVE-2001-0347,"Information disclosure vulnerability in Microsoft Windows 2000 telnet service allows remote attackers to determine the existence of user accounts such as Guest, or log in to the server without specifying the domain name, via a malformed userid.",,[],CVE-2001-0347,0,"{""info_leak"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.397147
CVE-2001-1257,Cross-site scripting vulnerability in Horde Internet Messaging Program (IMP) before 2.2.6 and 1.2.6 allows remote attackers to execute arbitrary Javascript embedded in an email.,,[],CVE-2001-1257,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.404470
CVE-2001-0987,Cross-site scripting vulnerability in CGIWrap before 3.7 allows remote attackers to execute arbitrary Javascript on other web clients by causing the Javascript to be inserted into error messages that are generated by CGIWrap.,,[],CVE-2001-0987,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.405343
CVE-2001-0991,"Cross-site scripting vulnerability in Proxomitron Naoko-4 BetaFour and earlier allows remote attackers to execute arbitrary script on other clients via an incorrect URL containing the malicious script, which is printed back in an error message.",,[],CVE-2001-0991,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.406714
CVE-2001-1472,SQL injection vulnerability in prefs.php in phpBB 1.4.0 and 1.4.1 allows remote authenticated users to execute arbitrary SQL commands and gain administrative access via the viewemail parameter.,,[],CVE-2001-1472,1,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.418652
CVE-2001-1379,"The PostgreSQL authentication modules (1) mod_auth_pgsql 0.9.5, and (2) mod_auth_pgsql_sys 0.9.4, allow remote attackers to bypass authentication and execute arbitrary SQL via a SQL injection attack on the user name.",,[],CVE-2001-1379,0,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.448427
CVE-2001-0970,Cross-site scripting vulnerability in TDForum 1.2 CGI script (tdforum12.cgi) allows remote attackers to execute arbitrary script on other clients via a forum message that contains the script.,,[],CVE-2001-0970,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.454119
CVE-2001-1004,Cross-site scripting (CSS) vulnerability in gnut Gnutella client before 0.4.27 allows remote attackers to execute arbitrary script on other clients by sharing a file whose name contains the script tags.,,[],CVE-2001-1004,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.456666
CVE-2001-1402,"Bugzilla before 2.14 does not properly escape untrusted parameters, which could allow remote attackers to conduct unauthorized activities via cross-site scripting (CSS) and possibly SQL injection attacks on (1) the product or output form variables for reports.cgi, (2) the voteon, bug_id, and user variables for showvotes.cgi, (3) an invalid email address in createaccount.cgi, (4) an invalid ID in showdependencytree.cgi, (5) invalid usernames and other fields in process_bug.cgi, and (6) error messages in buglist.cgi.",,[],CVE-2001-1402,0,"{""xss"": 1, ""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.472877
CVE-2001-0658,Cross-site scripting (CSS) vulnerability in Microsoft Internet Security and Acceleration (ISA) Server 2000 allows remote attackers to cause other clients to execute certain script or read cookies via malicious script in an invalid URL that is not properly quoted in an error message.,,[],CVE-2001-0658,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.487281
CVE-2001-1460,SQL injection vulnerability in article.php in PostNuke 0.62 through 0.64 allows remote attackers to bypass authentication via the user parameter.,,[],CVE-2001-1460,1,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.514517
CVE-2001-1387,"iptables-save in iptables before 1.2.4 records the ""--reject-with icmp-host-prohibited"" rule as ""--reject-with tcp-reset,"" which causes iptables to generate different responses than specified by the administrator, possibly leading to an information leak.",,[],CVE-2001-1387,0,"{""info_leak"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.538849
CVE-2001-0897,Cross-site scripting vulnerability in Infopop Ultimate Bulletin Board (UBB) before 5.47e allows remote attackers to steal user cookies via an [IMG] tag that references an about: URL with an onerror field.,,[],CVE-2001-0897,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.541425
CVE-2001-1350,Cross-site scripting vulnerability in namazu.cgi for Namazu 2.0.7 and earlier allows remote attackers to execute arbitrary Javascript as other web users via the lang parameter.,,[],CVE-2001-1350,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.547038
CVE-2001-0948,"Cross-site scripting (CSS) vulnerability in ValiCert Enterprise Validation Authority (EVA) 3.3 through 4.2.1 allows remote attackers to execute arbitrary code or display false information by including HTML or script in the certificate's description, which is executed when the certificate is viewed.",,[],CVE-2001-0948,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.556210
CVE-2001-0824,"Cross-site scripting vulnerability in IBM WebSphere 3.02 and 3.5 FP2 allows remote attackers to execute Javascript by inserting the Javascript into (1) a request for a .JSP file, or (2) a request to the webapp/examples/ directory, which inserts the Javascript into an error page.",,[],CVE-2001-0824,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.564598
CVE-2001-0828,"A cross-site scripting vulnerability in Caucho Technology Resin before 1.2.4 allows a malicious webmaster to embed Javascript in a hyperlink that ends in a .jsp extension, which causes an error message that does not properly quote the Javascript.",,[],CVE-2001-0828,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.565603
CVE-2001-0829,"A cross-site scripting vulnerability in Apache Tomcat 3.2.1 allows a malicious webmaster to embed Javascript in a request for a .JSP file, which causes the Javascript to be inserted into an error message.",,[],CVE-2001-0829,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.569887
CVE-2001-0835,"Cross-site scripting vulnerability in Webalizer 2.01-06, and possibly other versions, allows remote attackers to inject arbitrary HTML tags by specifying them in (1) search keywords embedded in HTTP referrer information, or (2) host names that are retrieved via a reverse DNS lookup.",,[],CVE-2001-0835,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.571686
CVE-2001-0857,Cross-site scripting vulnerability in status.php3 in Imp Webmail 2.2.6 and earlier allows remote attackers to gain access to the e-mail of other users by hijacking session cookies via the message parameter.,,[],CVE-2001-0857,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.577009
CVE-2001-1199,"Cross-site scripting vulnerability in agora.cgi for Agora 3.0a through 4.0g, when debug mode is enabled, allows remote attackers to execute Javascript on other clients via the cart_id parameter.",,[],CVE-2001-1199,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.586107
CVE-2001-1212,Cross-site scripting vulnerability in catgy.cgi for Aktivate 1.03 allows remote attackers to execute arbitrary Javascript via the desc parameter.,,[],CVE-2001-1212,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.587049
CVE-2001-0884,Cross-site scripting vulnerability in Mailman email archiver before 2.08 allows attackers to obtain sensitive information or authentication credentials via a malicious link that is accessed by other web users.,,[],CVE-2001-0884,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.591648
CVE-2001-1224,get_input in adrotate.pm for Les VanBrunt AdRotate Pro 2.0 allows remote attackers to modify the database and possibly execute arbitrary commands via a SQL code injection attack.,,[],CVE-2001-1224,0,"{""rce"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.594185
CVE-2001-1351,Cross-site scripting vulnerability in Namazu 2.0.8 and earlier allows remote attackers to execute arbitrary Javascript as other web users via the index file name that is displayed when displaying hit numbers.,,[],CVE-2001-1351,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.594712
CVE-2001-1352,Cross-site scripting vulnerability in Namazu 2.0.9 and earlier allows remote attackers to execute arbitrary Javascript as other web users via an error message that is returned when an invalid index file is specified in the idxname parameter.,,[],CVE-2001-1352,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.595677
CVE-2001-1202,"Cross-site scripting vulnerability in DeleGate 7.7.0 and 7.7.1 does not quote scripting commands within a ""403 Forbidden"" error page, which allows remote attackers to execute arbitrary Javascript on other clients via a URL that generates an error.",,[],CVE-2001-1202,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.595954
CVE-2001-1482,SQL injection vulnerability in bb_memberlist.php for phpBB 1.4.2 allows remote attackers to execute arbitrary SQL queries via the $sortby variable.,,[],CVE-2001-1482,0,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.600093
CVE-2001-1516,Cross-site scripting (XSS) vulnerability in phpReview 0.9.0 rc2 and earlier allows remote attackers to inject arbitrary web script or HTML via user-submitted reviews.,,[],CVE-2001-1516,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.608032
CVE-2001-1521,Cross-site scripting (XSS) vulnerability in user.php in PostNuke 0.64 allows remote attackers to inject arbitrary web script or HTML via the uname parameter.,,[],CVE-2001-1521,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.609540
CVE-2001-1522,Cross-site scripting (XSS) vulnerability in im.php in IMessenger for PHP-Nuke allows remote attackers to inject arbitrary web script or HTML via a message.,,[],CVE-2001-1522,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.609798
CVE-2001-1523,Cross-site scripting (XSS) vulnerability in the DMOZGateway module for PHP-Nuke allows remote attackers to inject arbitrary web script or HTML via the topic parameter.,,[],CVE-2001-1523,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.610090
CVE-2001-1524,"Cross-site scripting (XSS) vulnerability in PHP-Nuke 5.3.1 and earlier allows remote attackers to inject arbitrary web script or HTML via the (1) uname parameter in user.php, (2) ttitle, letter and file parameters in modules.php, (3) subject, story and storyext parameters in submit.php, (4) upload parameter in admin.php and (5) fname parameter in friend.php.",,[],CVE-2001-1524,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.610448
CVE-2001-1526,Cross-site scripting (XSS) vulnerability in the comments action in index.php in easyNews 1.5 and earlier allows remote attackers to inject arbitrary web script or HTML via the zeit parameter.,,[],CVE-2001-1526,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.610930
CVE-2001-1536,"Autogalaxy stores usernames and passwords in cleartext in cookies, which makes it easier for remote attackers to obtain authentication information and gain unauthorized access via sniffing or a cross-site scripting attack.",,[],CVE-2001-1536,0,"{""xss"": 1}",HIGH,{},nvd,2025-11-11 14:24:16.613503
CVE-2002-0011,Information leak in doeditvotes.cgi in Bugzilla before 2.14.1 may allow remote attackers to more easily conduct attacks on the login.,,[],CVE-2002-0011,0,"{""info_leak"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.630613
CVE-2002-0117,Cross-site scripting vulnerability in Yet Another Bulletin Board (YaBB) 1 Gold SP 1 and earlier allows remote attackers to execute arbitrary script and steal cookies via a message containing encoded Javascript in an IMG tag.,,[],CVE-2002-0117,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.655392
CVE-2002-0118,Cross-site scripting vulnerability in Infopop Ultimate Bulletin Board (UBB) 6.2.0 Beta Release 1.0 allows remote attackers to execute arbitrary script and steal cookies via a message containing encoded Javascript in an IMG tag.,,[],CVE-2002-0118,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.655678
CVE-2002-1640,Multiple cross-site scripting (XSS) vulnerabilities in Oracle Configurator before 11.5.7.17.32 and 11.5.6.16.53 allows remote attackers to inject arbitrary web script or HTML via (1) Text Features in the DHTML UI or (2) the test parameter to the oracle.apps.cz.servlet.UiServlet servlet.,,[],CVE-2002-1640,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.667048
CVE-2002-0074,"Cross-site scripting vulnerability in Help File search facility for Internet Information Server (IIS) 4.0, 5.0 and 5.1 allows remote attackers to embed scripts into another user's session.",,[],CVE-2002-0074,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.672366
CVE-2002-0075,"Cross-site scripting vulnerability for Internet Information Server (IIS) 4.0, 5.0 and 5.1 allows remote attackers to execute arbitrary script as other web users via the error message used in a URL redirect (""""302 Object Moved"") message.",,[],CVE-2002-0075,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.672745
CVE-2002-0148,"Cross-site scripting vulnerability in Internet Information Server (IIS) 4.0, 5.0 and 5.1 allows remote attackers to execute arbitrary script as other users via an HTTP error page.",,[],CVE-2002-0148,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.673783
CVE-2002-0166,"Cross-site scripting vulnerability in analog before 5.22 allows remote attackers to execute Javascript via an HTTP request containing the script, which is entered into a web logfile and not properly filtered by analog during display.",,[],CVE-2002-0166,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.676496
CVE-2002-0181,Cross-site scripting vulnerability in status.php3 for IMP 2.2.8 and HORDE 1.2.7 allows remote attackers to execute arbitrary web script and steal cookies of other IMP/HORDE users via the script parameter.,,[],CVE-2002-0181,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.679472
CVE-2002-0205,"Cross-site scripting (CSS) vulnerability in error.asp for Plumtree Corporate Portal 3.5 through 4.5 allows remote attackers to execute arbitrary script on other clients via the ""Description"" parameter.",,[],CVE-2002-0205,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.686350
CVE-2002-0216,"userinfo.php in XOOPS 1.0 RC1 allows remote attackers to obtain sensitive information via a SQL injection attack in the ""uid"" parameter.",,[],CVE-2002-0216,0,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.690184
CVE-2002-0217,Cross-site scripting (CSS) vulnerabilities in the Private Message System for XOOPS 1.0 RC1 allow remote attackers to execute Javascript on other web clients via (1) the Title field or a Private Message Box or (2) the image field parameter in pmlite.php.,,[],CVE-2002-0217,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.690700
CVE-2002-0230,"Cross-site scripting vulnerability in fom.cgi of Faq-O-Matic 2.712 allows remote attackers to execute arbitrary Javascript on other clients via the cmd parameter, which causes the script to be inserted into an error message.",,[],CVE-2002-0230,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.694638
CVE-2002-0189,"Cross-site scripting vulnerability in Internet Explorer 6.0 allows remote attackers to execute scripts in the Local Computer zone via a URL that exploits a local HTML resource file, aka the ""Cross-Site Scripting in Local HTML Resource"" vulnerability.",,[],CVE-2002-0189,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.698461
CVE-2002-0191,"Microsoft Internet Explorer 5.01, 5.5 and 6.0 allows remote attackers to view arbitrary files that contain the ""{"" character via script containing the cssText property of the stylesheet object, aka ""Local Information Disclosure through HTML Object"" vulnerability.",,[],CVE-2002-0191,1,"{""info_leak"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.699025
CVE-2002-0238,Cross-site scripting vulnerability in web administration interface for NetGear RT314 and RT311 Gateway Routers allows remote attackers to execute arbitrary script on another client via a URL that contains the script.,,[],CVE-2002-0238,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.701690
CVE-2002-0242,"Cross-site scripting vulnerability in Internet Explorer 6 earlier allows remote attackers to execute arbitrary script via an Extended HTML Form, whose output from the remote server is not properly cleansed.",,[],CVE-2002-0242,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.702874
CVE-2002-0243,"Cross-site scripting vulnerability in Opera 6.0 and earlier allows remote attackers to execute arbitrary script via an Extended HTML Form, whose output from the remote server is not properly cleansed.",,[],CVE-2002-0243,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.703165
CVE-2002-0257,"Cross-site scripting vulnerability in auction.pl of MakeBid Auction Deluxe 3.30 allows remote attackers to obtain information from other users via the form fields (1) TITLE, (2) DESCTIT, (3) DESC, (4) searchstring, (5) ALIAS, (6) EMAIL, (7) ADDRESS1, (8) ADDRESS2, (9) ADDRESS3, (10) PHONE1, (11) PHONE2, (12) PHONE3, or (13) PHONE4.",,[],CVE-2002-0257,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.707097
CVE-2002-0269,"Internet Explorer 5.x and 6 interprets an object as an HTML document even when its MIME Content-Type is text/plain, which could allow remote attackers to execute arbitrary script in documents that the user does not expect, possibly through web applications that use a text/plain type to prevent cross-site scripting attacks.",,[],CVE-2002-0269,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.710409
CVE-2002-0270,"Opera, when configured with the ""Determine action by MIME type"" option disabled, interprets an object as an HTML document even when its MIME Content-Type is text/plain, which could allow remote attackers to execute arbitrary script in documents that the user does not expect, possibly through web applications that use a text/plain type to prevent cross-site scripting attacks.",,[],CVE-2002-0270,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.710742
CVE-2002-0375,Cross-site scripting vulnerability in sgdynamo.exe for Sgdynamo allows remote attackers to execute arbitrary Javascript via a URL with the script in the HTNAME parameter.,,[],CVE-2002-0375,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.712334
CVE-2002-0281,Cross-site scripting vulnerability in DCP-Portal 4.2 and earlier allows remote attackers to gain privileges of other portal users by providing Javascript in the job information field to user_update.php.,,[],CVE-2002-0281,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.714902
CVE-2002-0287,"pforum 1.14 and earlier does not explicitly enable PHP magic quotes, which allows remote attackers to bypass authentication and gain administrator privileges via an SQL injection attack when the PHP server is not configured to use magic quotes by default.",,[],CVE-2002-0287,0,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.716604
CVE-2002-0292,"Cross-site scripting vulnerability in Slash before 2.2.5, as used in Slashcode and elsewhere, allows remote attackers to steal cookies and authentication information from other users via Javascript in a URL, possibly in the formkey field.",,[],CVE-2002-0292,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.717759
CVE-2002-0308,admin.asp in AdMentor 2.11 allows remote attackers to bypass authentication and gain privileges via a SQL injection attack on the Login and Password arguments.,,[],CVE-2002-0308,0,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.721961
CVE-2002-0388,"Cross-site scripting vulnerabilities in Mailman before 2.0.11 allow remote attackers to execute script via (1) the admin login page, or (2) the Pipermail index summaries.",,[],CVE-2002-0388,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.724280
CVE-2002-0590,Cross-site scripting (CSS) vulnerability in IcrediBB 1.1 Beta allows remote attackers to execute arbitrary script and steal cookies as other IcrediBB users via the (1) title or (2) body of posts.,,[],CVE-2002-0590,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.731096
CVE-2002-0607,"members.asp in Snitz Forums 2000 version 3.3.03 and earlier allows remote attackers to execute arbitrary code via a SQL injection attack on the parameters (1) M_NAME, (2) UserName, (3) FirstName, (4) LastName, or (5) INITIAL.",,[],CVE-2002-0607,1,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.735613
CVE-2002-0316,Cross-site scripting vulnerability in eXtreme message board (XMB) 1.6x and earlier allows remote attackers to execute script as other XMB users by inserting the script into an IMG tag.,,[],CVE-2002-0316,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.739162
CVE-2002-0319,Cross-site scripting vulnerability in edituser.php for pforum 1.14 and earlier allows remote attackers to execute script and steal cookies from other users via Javascript in a username.,,[],CVE-2002-0319,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.739870
CVE-2002-0326,Cross-site scripting vulnerability in BadBlue before 1.6.1 beta allows remote attackers to execute arbitrary script and possibly additional commands via a URL that contains Javascript.,,[],CVE-2002-0326,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.741760
CVE-2002-0328,Cross-site scripting vulnerability in Ikonboard 3.0.1 allows remote attackers to execute arbitrary script as other Ikonboard users and steal cookies via Javascript in an IMG tag.,,[],CVE-2002-0328,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.742380
CVE-2002-0329,Cross-site scripting vulnerability in Snitz Forums 2000 3.3.03 and earlier allows remote attackers to execute arbitrary script as other Forums 2000 users via Javascript in an IMG tag.,,[],CVE-2002-0329,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.742682
CVE-2002-0330,Cross-site scripting vulnerability in codeparse.php of Open Bulletin Board (OpenBB) 1.0.0 allows remote attackers to execute arbitrary script and steal cookies via Javascript in the IMG tag.,,[],CVE-2002-0330,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.742921
CVE-2002-0346,Cross-site scripting vulnerability in Cobalt RAQ 4 allows remote attackers to execute arbitrary script as other Cobalt users via Javascript in a URL to (1) service.cgi or (2) alert.cgi.,,[],CVE-2002-0346,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.747734
CVE-2002-0187,"Cross-site scripting vulnerability in the SQLXML component of Microsoft SQL Server 2000 allows an attacker to execute arbitrary script via the root parameter as part of an XML SQL query, aka ""Script Injection via XML Tag.""",,[],CVE-2002-0187,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.752089
CVE-2002-0535,"Cross-site scripting vulnerabilities in PostBoard 2.0.1 and earlier allows remote attackers to execute script as other users via (1) an [IMG] tag when BBCode is enabled, or (2) in a topic title.",,[],CVE-2002-0535,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.754639
CVE-2002-0536,"PHPGroupware 0.9.12 and earlier, when running with the magic_quotes_gpc feature disabled, allows remote attackers to compromise the database via a SQL injection attack.",,[],CVE-2002-0536,1,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.754882
CVE-2002-0539,Demarc PureSecure 1.05 allows remote attackers to gain administrative privileges via a SQL injection attack in a session ID that is stored in the s_key cookie.,,[],CVE-2002-0539,1,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.755651
CVE-2002-0546,Cross-site scripting vulnerability in the mini-browser for Winamp 2.78 and 2.79 allows remote attackers to execute script via an ID3v1 or ID3v2 tag in an MP3 file.,,[],CVE-2002-0546,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.757376
CVE-2002-0549,Cross-site scripting vulnerabilities in Anthill allow remote attackers to execute script as other Anthill users.,,[],CVE-2002-0549,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.758163
CVE-2002-0551,"Cross-site scripting vulnerability in Dynamic Guestbook 3.0 allows remote attackers to execute code in clients who access guestbook pages via the parameters (1) name, (2) mail, or (3) kommentar.",,[],CVE-2002-0551,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.758709
CVE-2002-0553,Cross-site scripting vulnerability in SunShop 2.5 and earlier allows remote attackers to gain administrative privileges to SunShop by injecting the script into fields during new customer registration.,,[],CVE-2002-0553,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.759412
CVE-2002-0554,webdriver in IBM Informix Web DataBlade 4.12 allows remote attackers to bypass user access levels or read arbitrary files via a SQL injection attack in an HTTP request.,,[],CVE-2002-0554,1,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.759708
CVE-2002-0681,"Cross-site scripting vulnerability in GoAhead Web Server 2.1 allows remote attackers to execute script as other web users via script in a URL that generates a ""404 not found"" message, which does not quote the script.",,[],CVE-2002-0681,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.775809
